feature,pct_in_top5,mean_signed_weight
ring-type=p,67.5,-0.15450106379149192
stalk-surface-above-ring=s,66.66666666666667,-0.12091624657236666
odor=n,62.5,-0.37925939510057527
gill-size=b,52.5,-0.12288219606124273
population=v,35.833333333333336,0.11263952265854241
stalk-surface-below-ring=s,21.666666666666668,-0.11114122612661463
odor=f,20.0,0.3890307048634066
stalk-surface-above-ring=k,17.5,0.15021719563805694
stalk-surface-below-ring=k,15.833333333333334,0.14558679518531278
gill-color=b,15.0,0.30963868189510385
ring-type=l,15.0,0.27461485191400536
bruises=t,15.0,-0.10886595107819227
spore-print-color=h,14.166666666666666,0.16609034824218621
gill-size=n,14.166666666666666,0.12381579420630912
spore-print-color=n,11.666666666666666,-0.12603680451525587
odor=s,7.5,0.2694566386938517
bruises=f,7.5,0.10420116032064639
spore-print-color=k,7.5,-0.13140467496555408
gill-color=n,7.5,-0.15845079042221105
stalk-color-above-ring=g,7.5,-0.2694349832562712
odor=y,2.5,0.2586940168710254
population=n,2.5,-0.23713621094723894
stalk-color-below-ring=g,2.5,-0.27946965079453
odor=l,2.5,-0.33040899169867327
odor=a,2.5,-0.34330581137732813
gill-spacing=c,1.6666666666666667,0.13693081107759952
population=a,1.6666666666666667,-0.23130774228969397
gill-color=w,0.8333333333333334,-0.12063054211130463
gill-spacing=w,0.8333333333333334,-0.13361292129612531
