feature,pct_in_top5,mean_signed_weight
gill-attachment_f,100.0,0.5830158998726916
veil-color_w,59.166666666666664,-0.0006529955316397802
ring-number_o,36.666666666666664,0.0002573927481828567
gill-color_n,24.166666666666668,0.0152487605026137
gill-color_b,15.0,0.01889726107030669
stalk-surface-below-ring_s,13.333333333333334,-0.0012854914063959774
gill-size_b,12.5,0.0027592456855986686
gill-spacing_c,12.5,0.0019932001285763953
stalk-surface-above-ring_s,10.833333333333334,-7.750521199049929e-05
bruises_t,9.166666666666666,0.0008973938304418477
cap-shape_x,9.166666666666666,0.00045204697171603235
stalk-color-below-ring_w,8.333333333333334,-0.0011947837243573213
stalk-root_b,8.333333333333334,-0.0012897959926649154
gill-color_u,7.5,0.004497549935246647
population_v,7.5,0.0012682880129053701
stalk-shape_t,7.5,0.0006933241632264176
ring-type_p,6.666666666666667,0.0013971306499891657
cap-color_n,6.666666666666667,-6.1275576954632465e-06
odor_n,6.666666666666667,-0.0001416807170929996
cap-surface_y,6.666666666666667,-0.0001884475154415208
habitat_d,6.666666666666667,-0.0010473683955650429
spore-print-color_k,6.666666666666667,-0.002242235298290279
cap-shape_f,5.833333333333333,0.0032221667866882374
spore-print-color_n,5.833333333333333,0.0007575712648218773
stalk-color-above-ring_w,5.833333333333333,-0.0006723245432741176
gill-color_g,5.0,0.01462256849002367
stalk-color-above-ring_p,5.0,0.00019637537961949203
stalk-surface-above-ring_k,5.0,-8.52668491173388e-05
odor_s,5.0,-0.0008474335009638171
bruises_f,5.0,-0.0013780887362544432
cap-surface_f,4.166666666666667,0.00025519954551459536
stalk-color-below-ring_p,4.166666666666667,-0.0005517682453618277
population_y,4.166666666666667,-0.0007132619651979414
odor_f,3.3333333333333335,0.0005027552048159636
gill-color_w,3.3333333333333335,-0.0006814527899841928
stalk-shape_e,3.3333333333333335,-0.0017751500609163588
gill-color_p,3.3333333333333335,-0.002643409486601426
cap-color_e,3.3333333333333335,-0.004362243770261197
gill-color_k,2.5,0.011778621260614804
ring-type_l,2.5,0.004459581100530931
stalk-root_c,2.5,0.00320808409922492
ring-type_e,2.5,0.0019635132564464353
cap-color_g,2.5,-0.00149013770269701
habitat_p,2.5,-0.0015153788510666264
odor_l,1.6666666666666667,0.009925496817345314
stalk-color-above-ring_n,1.6666666666666667,0.009209959724779044
stalk-color-above-ring_b,1.6666666666666667,0.005382196261784803
stalk-color-above-ring_g,1.6666666666666667,0.005374074774916292
stalk-surface-below-ring_k,1.6666666666666667,0.00407441698942199
stalk-color-below-ring_b,1.6666666666666667,0.003941372542756344
gill-spacing_w,1.6666666666666667,0.001706660328875393
habitat_g,1.6666666666666667,0.0013639613971996528
cap-color_y,1.6666666666666667,0.0004235914494796801
odor_y,1.6666666666666667,-0.00015554553183783418
spore-print-color_h,1.6666666666666667,-0.0006185190800180574
spore-print-color_w,1.6666666666666667,-0.000884727868622794
stalk-color-below-ring_n,1.6666666666666667,-0.0012041029028032244
odor_a,1.6666666666666667,-0.001288831072589818
odor_p,1.6666666666666667,-0.00290704912446774
stalk-root_?,1.6666666666666667,-0.004718113100083209
ring-number_t,0.8333333333333334,0.006218440105318664
stalk-root_e,0.8333333333333334,0.004676582146830523
stalk-surface-above-ring_f,0.8333333333333334,-0.0048163338875502485
population_s,0.8333333333333334,-0.0052905480898968365
gill-size_n,0.8333333333333334,-0.005469468599856823
habitat_m,0.8333333333333334,-0.005720984088653206
